Gender,Perspective,Age_1,Age_2,Pair_ID,Spare
0,1,0,1,557,0
0,1,0,0,558,0
0,1,1,0,558,1
0,1,0,1,559,1
0,1,1,0,559,0
0,1,0,1,560,1
0,1,0,0,560,0
1,1,1,0,561,0
1,1,0,1,561,1
1,1,1,0,562,1
1,1,0,0,562,0
0,1,0,1,563,0
0,1,1,0,563,1
1,1,1,0,564,0
1,1,0,1,564,1
1,1,0,1,565,0
0,1,0,1,565,1
1,1,0,0,566,0
0,1,0,0,566,1
0,1,0,0,567,1
0,1,1,0,567,0
1,1,0,0,568,0
1,1,0,1,568,1
1,1,1,0,569,1
1,1,0,0,569,0
1,1,0,1,570,1
1,1,0,0,570,0
0,1,0,1,571,0
1,1,0,1,571,1
0,1,0,0,572,0
0,1,1,0,572,1
0,1,0,0,573,0
1,1,0,0,573,1
1,1,1,0,574,1
